Resource,fuel,Zone,EndCap1,EndEnergyCap1,EndCap2,EndEnergyCap2,EndCap3,EndEnergyCap3,EndCap4,EndEnergyCap4,EndCap5,EndEnergyCap5,EndCap6,EndEnergyCap6,EndCap7,EndEnergyCap7
TRE_landbasedwind_class1_moderate_3,wind_new,2,4.139193345,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_landbasedwind_class1_moderate_4,wind_new,2,10.0383573,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_landbasedwind_class1_moderate_5,wind_new,2,164.6907206,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_landbasedwind_class1_moderate_6,wind_new,2,9.00180608,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_landbasedwind_class1_moderate_7,wind_new,2,6.001067063,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_landbasedwind_class1_moderate_8,wind_new,2,3.477049123,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_landbasedwind_class1_moderate_9,wind_new,2,1.353697425,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_utilitypv_class1_moderate_0,solar_new,2,48722.40724,0,48561.02738,0,49736.1496,0,48691.25967,0,48702.86054,0,44540.22612,0,44679.41012,0
TRE_utilitypv_class1_moderate_1,solar_new,2,28.44897164,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_utilitypv_class1_moderate_2,solar_new,2,16.85849837,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_utilitypv_class1_moderate_3,solar_new,2,21.11305807,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_utilitypv_class1_moderate_4,solar_new,2,5.75087351,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_utilitypv_class1_moderate_5,solar_new,2,9.596641222,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_utilitypv_class1_moderate_6,solar_new,2,2.820342444,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_utilitypv_class1_moderate_7,solar_new,2,4.655707798,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_utilitypv_class1_moderate_8,solar_new,2,1.759282327,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_utilitypv_class1_moderate_9,solar_new,2,3.116811689,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_1_0,offshore_wind_new,2,0.736034168,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_1_1,offshore_wind_new,2,0.762979849,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_1_2,offshore_wind_new,2,0.573525675,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_1_3,offshore_wind_new,2,0.561521323,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_1_4,offshore_wind_new,2,0.750202262,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_1_5,offshore_wind_new,2,0.27552341,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_1_6,offshore_wind_new,2,0.561028191,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_1_7,offshore_wind_new,2,0.642399511,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_1_8,offshore_wind_new,2,0.604580306,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_1_9,offshore_wind_new,2,0.640947403,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_0_0,offshore_wind_new,2,0.58238519,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_0_1,offshore_wind_new,2,0.601750174,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_0_2,offshore_wind_new,2,0.462212186,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_0_3,offshore_wind_new,2,0.522877519,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_0_4,offshore_wind_new,2,0.528565107,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_0_5,offshore_wind_new,2,0.495863195,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_0_6,offshore_wind_new,2,0.478304985,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_0_7,offshore_wind_new,2,0.451806373,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_0_8,offshore_wind_new,2,0.437226391,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class3_moderate_fixed_0_9,offshore_wind_new,2,0.36720102,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_1_0,offshore_wind_new,2,0.567492502,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_1_1,offshore_wind_new,2,0.499975318,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_1_2,offshore_wind_new,2,0.578118258,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_1_3,offshore_wind_new,2,0.430971588,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_1_4,offshore_wind_new,2,0.447008412,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_1_5,offshore_wind_new,2,0.524749652,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_1_6,offshore_wind_new,2,0.541185354,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_1_7,offshore_wind_new,2,0.419584353,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_1_8,offshore_wind_new,2,0.526589245,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_1_9,offshore_wind_new,2,0.268082199,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_0_0,offshore_wind_new,2,0.272315114,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_0_1,offshore_wind_new,2,0.421353803,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_0_2,offshore_wind_new,2,0.318741782,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_0_3,offshore_wind_new,2,0.241609555,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_0_4,offshore_wind_new,2,0.334341105,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_0_5,offshore_wind_new,2,0.483360098,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_0_6,offshore_wind_new,2,0.343217974,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_0_7,offshore_wind_new,2,0.480500856,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_0_8,offshore_wind_new,2,0.315032162,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_offshorewind_class12_moderate_floating_0_9,offshore_wind_new,2,0.312946861,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_landbasedwind_class1_moderate_0,wind_new,3,6922.076874,0,7336.024503,0,7910.450095,0,3722.030692,0,3819.159732,0,4615.13678,0,4692.789921,0
WECC_landbasedwind_class1_moderate_1,wind_new,3,2.233595423,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_landbasedwind_class1_moderate_2,wind_new,3,0.017170017,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_landbasedwind_class1_moderate_3,wind_new,3,0.025466748,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_landbasedwind_class1_moderate_4,wind_new,3,0.011847204,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_landbasedwind_class1_moderate_5,wind_new,3,0.009596282,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_landbasedwind_class1_moderate_6,wind_new,3,0.009111788,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_landbasedwind_class1_moderate_7,wind_new,3,0.009620395,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_landbasedwind_class1_moderate_8,wind_new,3,0.007313172,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_landbasedwind_class1_moderate_9,wind_new,3,0.009491252,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_utilitypv_class1_moderate_0,solar_new,3,0.256167579,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_utilitypv_class1_moderate_1,solar_new,3,45498.76493,0,46449.16207,0,43831.25243,0,46453.44916,0,46598.01109,0,41095.45602,0,40914.64405,0
WECC_utilitypv_class1_moderate_2,solar_new,3,0.087773189,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_utilitypv_class1_moderate_3,solar_new,3,0.096322752,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_utilitypv_class1_moderate_4,solar_new,3,0.088846202,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_utilitypv_class1_moderate_5,solar_new,3,0.041395267,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_utilitypv_class1_moderate_6,solar_new,3,0.060744085,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_utilitypv_class1_moderate_7,solar_new,3,0.043783344,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_utilitypv_class1_moderate_8,solar_new,3,0.042223545,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_utilitypv_class1_moderate_9,solar_new,3,0.035316319,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_offshorewind_class3_moderate_fixed_0_0,offshore_wind_new,3,0.006497739,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_offshorewind_class3_moderate_fixed_0_1,offshore_wind_new,3,0.008672473,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_offshorewind_class3_moderate_fixed_0_2,offshore_wind_new,3,0.007267224,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_offshorewind_class3_moderate_fixed_0_3,offshore_wind_new,3,0.009397889,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_offshorewind_class3_moderate_fixed_0_4,offshore_wind_new,3,0.005052404,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_offshorewind_class3_moderate_fixed_0_5,offshore_wind_new,3,0.005222654,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_offshorewind_class3_moderate_fixed_0_6,offshore_wind_new,3,0.003880259,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_offshorewind_class3_moderate_fixed_0_7,offshore_wind_new,3,0.008611056,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_offshorewind_class3_moderate_fixed_0_8,offshore_wind_new,3,0.004790493,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_offshorewind_class3_moderate_fixed_0_9,offshore_wind_new,3,0.002869963,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_offshorewind_class12_moderate_floating_1_0,offshore_wind_new,3,0.005290851,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_offshorewind_class12_moderate_floating_1_1,offshore_wind_new,3,0.003146423,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_offshorewind_class12_moderate_floating_1_2,offshore_wind_new,3,0.003003776,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_offshorewind_class12_moderate_floating_1_3,offshore_wind_new,3,0.003257802,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_offshorewind_class12_moderate_floating_1_4,offshore_wind_new,3,0.002799407,0,0,0,0,0,0,0,0,0,0,0,0,0
