Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,,51,20004.28049,16891.11356,26182.38837,27981.58282,28614.19814,34712.2549,14780.19066,26257.65336,36081.99719,34389.99554,13483.74436,11282.48818,18818.91067,16587.58177,46866.5202,52924.09861,16961.83107,12660.39159,7958.378573,18761.9444,36401.21952,37670.79284,39699.31651,21339.51242,57726.95976,2770.090052
,,,,,,,,52,19071.4228,15681.95567,24302.47805,29107.5034,28799.87428,34675.13593,14685.92796,25985.8703,35483.17165,32141.4768,13350.30154,11138.03381,18668.45567,16939.6128,47767.35573,53382.5287,16654.82052,12545.0418,7873.117396,18507.22561,37949.7808,38195.43334,40857.76907,20442.13594,57126.23273,2744.013896
,,,,,,,,53,18647.12301,15003.18296,23250.73088,32202.53174,29486.37416,35054.35134,14826.31922,26383.01455,36066.95132,31216.38341,13346.28822,11101.92022,18746.69227,17515.29887,49378.42685,54565.21814,16823.37533,12761.6988,8004.519916,18682.72084,40597.57987,39540.63967,43338.16142,20082.1827,58102.03808,2798.172065
,,,,,,,,54,18556.84646,14609.1539,22642.14125,37873.24128,31117.31319,36775.86891,16127.9467,27196.35795,37176.33331,30584.2697,13964.33916,11556.34959,19229.15129,19430.90932,54387.19278,59494.59551,17113.32974,13078.65996,8230.211267,18998.61225,46406.69056,42789.79947,48293.93118,20113.26501,60056.65743,2896.459113
,,,,,,,,55,18859.77444,14649.25864,22704.30362,42728.83645,41180.9598,42008.64026,19758.06341,30160.89937,41621.88572,31338.79273,16766.63829,13581.72023,21061.69311,22787.74082,66099.05783,73762.10351,17018.01601,14115.80501,9021.635604,20840.81076,53624.9519,48287.99177,56251.64769,20821.13964,66839.1565,3237.454992
,,,,,,,,56,19777.58604,14983.13059,23217.64446,46353.23796,56571.00239,45857.97762,22897.81353,34977.77772,50631.35138,33025.43263,20234.14484,16309.29962,25472.03051,24596.03696,73740.10931,78933.23504,18580.15791,15664.50131,10313.5932,24619.47378,55278.82336,51266.30466,59429.11756,22551.72266,80605.73416,3982.63128
,,,,,,,,57,22225.08362,16410.85931,25433.4321,47315.73463,57101.93578,46750.8393,23163.55412,37645.46384,56234.43257,38172.64421,21464.22673,17412.7705,26995.63808,24209.90606,72411.92864,76371.24281,21320.17687,16773.86536,11273.53375,26371.4176,53225.77613,50739.65789,58817.29413,25284.96097,85719.43558,4217.316679
,,,,,,,,58,24883.2265,18856.24579,29239.37321,46631.96096,53926.37201,45369.41174,22642.10089,36523.23047,55069.8824,46599.82357,21166.23789,17326.49914,26130.02035,23591.09368,70426.67974,74144.29577,23055.8901,16534.13841,11150.15581,25682.47346,51170.72298,49168.74581,57224.54724,27282.2503,83084.86142,4061.862675
,,,,,,,,59,25979.58505,20761.2209,32195.09355,45326.57485,51224.53331,44110.37645,22475.63697,34615.7346,53161.0633,51101.87784,20981.62527,17212.13943,25338.62708,23390.5062,69993.31565,73071.95055,23135.15099,16090.79401,10787.04351,24754.85582,49492.78062,48038.21073,55371.02315,27635.18496,78177.75394,3782.045469
,,,,,,,,60,25185.1514,21041.95408,32618.1987,45836.8986,50649.43912,43703.07101,22592.96395,32980.0218,52301.44271,49830.62695,21072.92825,17329.5086,25134.00829,23933.09534,70525.99234,73404.98948,22349.56518,15942.34384,10739.89909,23894.42777,49529.88992,47657.01878,55105.23101,27261.19453,74858.21055,3617.565104
